total_images,last_price,total_area,first_day_exposition,rooms,ceiling_height,floors_total,living_area,floor,is_apartment,studio,open_plan,kitchen_area,balcony,locality_name,airports_nearest,cityCenters_nearest,parks_around3000,parks_nearest,ponds_around3000,ponds_nearest,days_exposition,year,month,weekday,price_per_m2,floor_type
16,4650000.0,39.0,2017-11-18,1,2.72,14,20.5,5,True,False,False,7.6,1,Санкт-Петербург,12900.0,14259.0,1.0,590.0,1.0,296.0,19,2017,11,5,119230.77,Другой
8,3250000.0,31.0,2017-01-27,1,2.5,5,19.4,2,True,False,False,5.6,1,Санкт-Петербург,44060.0,10842.0,1.0,759.0,0.0,3100.0,168,2017,1,4,104838.71,Другой
12,6120000.0,80.0,2017-09-28,3,2.7,27,48.0,11,True,False,False,12.0,2,поселок Парголово,53134.0,19311.0,0.0,3100.0,0.0,3100.0,74,2017,9,3,76500.0,Другой
13,3200000.0,31.6,2018-03-14,1,2.72,5,16.9,2,True,False,False,5.7,1,Санкт-Петербург,36064.0,9722.0,1.0,248.0,0.0,3100.0,310,2018,3,2,101265.82,Другой
20,5000000.0,58.0,2017-04-24,2,2.75,25,30.0,15,True,False,False,11.0,2,деревня Кудрово,,,,,,,60,2017,4,0,86206.9,Другой
6,4050000.0,60.0,2017-04-28,4,2.72,5,43.0,4,True,False,False,7.0,0,Санкт-Петербург,11580.0,10510.0,0.0,3100.0,1.0,95.0,265,2017,4,4,67500.0,Другой
20,7100000.0,70.0,2017-05-12,3,2.6,17,49.0,11,True,False,False,9.2,0,Санкт-Петербург,29197.0,11456.0,2.0,452.0,1.0,779.0,151,2017,5,4,101428.57,Другой
8,4170000.0,44.0,2017-12-13,1,2.9,6,20.8,1,True,False,False,11.7,1,Пушкин,18557.0,30710.0,0.0,3100.0,1.0,118.0,74,2017,12,2,94772.73,Первый
8,7200000.0,67.9,2017-10-26,2,2.8,16,38.1,4,True,False,False,13.4,2,Санкт-Петербург,32888.0,12944.0,0.0,3100.0,0.0,3100.0,112,2017,10,3,106038.29,Другой
7,4990000.0,60.0,2016-05-22,3,2.72,5,39.0,4,True,False,False,6.0,0,Санкт-Петербург,11349.0,12889.0,0.0,3100.0,1.0,426.0,224,2016,5,6,83166.67,Другой
8,4800000.0,73.0,2018-10-15,4,2.72,9,51.6,5,True,False,False,6.5,0,Колпино,26535.0,32321.0,0.0,3100.0,0.0,3100.0,92,2018,10,0,65753.42,Другой
3,3290000.0,33.0,2018-02-04,1,2.55,16,14.0,3,True,False,False,8.0,0,Санкт-Петербург,13943.0,12739.0,0.0,3100.0,0.0,3100.0,15,2018,2,6,99696.97,Другой
13,3790000.0,45.0,2017-01-25,2,2.72,9,27.0,9,False,False,False,6.3,2,Санкт-Петербург,49574.0,16461.0,1.0,459.0,0.0,3100.0,139,2017,1,2,84222.22,Последний
10,3150000.0,40.0,2018-03-29,1,2.75,18,16.3,9,True,False,False,11.6,0,поселок Мурино,,,,,,,103,2018,3,3,78750.0,Другой
15,5200000.0,54.4,2018-11-29,2,2.75,9,29.7,2,True,False,False,8.8,2,Санкт-Петербург,13413.0,12209.0,0.0,3100.0,1.0,1175.0,29,2018,11,3,95588.24,Другой
9,3590000.0,36.0,2017-03-15,1,2.6,26,15.0,22,True,False,False,10.0,2,поселок Парголово,52996.0,19143.0,0.0,3100.0,0.0,3100.0,430,2017,3,2,99722.22,Другой
17,5200000.0,50.6,2018-12-02,2,2.65,9,30.3,7,True,False,False,7.0,0,Санкт-Петербург,30011.0,12872.0,0.0,3100.0,0.0,3100.0,0,2018,12,6,102766.8,Другой
17,6600000.0,52.1,2019-01-31,2,2.6,24,29.7,9,True,False,False,8.3,2,Санкт-Петербург,15114.0,12702.0,0.0,3100.0,0.0,3100.0,0,2019,1,3,126679.46,Другой
17,3600000.0,56.1,2018-10-18,3,2.72,4,42.5,3,True,False,False,5.7,1,Гатчина,,,,,,,179,2018,10,3,64171.12,Другой
10,3600000.0,33.83,2017-10-03,1,2.72,24,15.35,6,True,False,False,9.5,0,Санкт-Петербург,21460.0,16788.0,0.0,3100.0,1.0,170.0,322,2017,10,1,106414.43,Другой
1,3050000.0,30.8,2018-11-22,1,2.5,9,18.0,7,True,False,False,6.0,0,Санкт-Петербург,45341.0,16603.0,1.0,675.0,0.0,3100.0,0,2018,11,3,99025.97,Другой
1,4500000.0,48.2,2017-11-13,1,2.7,5,25.4,4,False,False,False,9.0,1,Пушкин,19841.0,30183.0,1.0,531.0,3.0,330.0,152,2017,11,0,93361.0,Другой
7,4300000.0,39.1,2017-11-10,1,2.72,25,15.4,13,True,False,False,15.5,2,поселок Парголово,52611.0,18783.0,0.0,3100.0,0.0,3100.0,6,2017,11,4,109974.42,Другой
6,3320000.0,36.5,2017-04-14,1,2.72,24,14.0,6,True,False,False,12.0,0,Санкт-Петербург,33331.0,14495.0,0.0,3100.0,0.0,3100.0,44,2017,4,4,90958.9,Другой
20,7400000.0,58.8,2018-03-24,2,2.6,10,33.7,9,True,False,False,10.7,0,Санкт-Петербург,10643.0,12260.0,0.0,3100.0,1.0,998.0,69,2018,3,5,125850.34,Другой
14,4350000.0,41.0,2016-03-28,1,2.8,7,18.1,4,False,False,False,11.1,2,Санкт-Петербург,13772.0,9626.0,1.0,271.0,1.0,439.0,152,2016,3,0,106097.56,Другой
7,3200000.0,45.0,2017-10-25,1,2.72,25,17.0,10,True,False,False,12.0,0,поселок Шушары,13097.0,18883.0,0.0,3100.0,1.0,649.0,173,2017,10,2,71111.11,Другой
11,3900000.0,33.0,2017-07-05,1,2.6,9,19.0,5,True,False,False,7.0,0,Санкт-Петербург,12988.0,15579.0,0.0,3100.0,2.0,898.0,298,2017,7,2,118181.82,Другой
0,4800000.0,78.6,2017-09-17,3,2.8,9,48.8,5,True,False,False,11.9,2,Сертолово,,,,,,,5,2017,9,6,61068.7,Другой
13,3100000.0,44.3,2017-11-07,2,2.5,5,29.0,5,True,False,False,5.3,0,Гатчина,,,,,,,143,2017,11,1,69977.43,Последний
7,4400000.0,57.0,2018-03-03,3,2.5,5,39.0,2,True,False,False,7.0,0,Санкт-Петербург,35361.0,10484.0,0.0,3100.0,0.0,3100.0,216,2018,3,5,77192.98,Другой
6,2550000.0,31.0,2018-08-28,1,2.5,5,15.4,4,True,False,False,7.2,0,Ломоносов,47675.0,51100.0,0.0,3100.0,2.0,490.0,39,2018,8,1,82258.06,Другой
11,4150000.0,74.0,2017-08-04,3,2.8,5,44.0,1,True,False,False,8.0,2,деревня Фёдоровское,,,,,,,234,2017,8,4,56081.08,Первый
6,4010000.0,50.7,2018-09-16,2,2.6,5,28.9,5,False,False,False,9.0,2,Выборг,,,,,,,194,2018,9,6,79092.7,Последний
9,3400000.0,30.0,2018-09-05,1,2.72,5,16.0,1,True,False,False,7.0,0,Санкт-Петербург,39053.0,8313.0,1.0,382.0,0.0,3100.0,14,2018,9,2,113333.33,Первый
20,4850000.0,57.5,2019-03-27,3,2.5,9,39.0,8,True,False,False,6.2,0,Санкт-Петербург,33623.0,12267.0,1.0,334.0,1.0,333.0,0,2019,3,2,84347.83,Другой
10,4500000.0,55.0,2018-12-09,2,2.7,3,35.5,2,True,False,False,7.5,1,Кронштадт,68258.0,49984.0,3.0,167.0,3.0,118.0,141,2018,12,6,81818.18,Другой
10,4750000.0,73.8,2016-03-14,3,2.72,10,44.8,1,False,False,False,10.4,0,поселок Парголово,53817.0,23742.0,0.0,3100.0,3.0,631.0,166,2016,3,0,64363.14,Первый
3,2350000.0,34.0,2018-06-14,1,2.5,9,19.0,8,True,False,False,7.1,0,Колпино,26765.0,32551.0,1.0,445.0,1.0,996.0,121,2018,6,3,69117.65,Другой
19,4950000.0,44.0,2018-02-27,2,2.7,23,21.0,19,True,False,False,15.0,2,Санкт-Петербург,15749.0,14545.0,0.0,3100.0,0.0,3100.0,36,2018,2,1,112500.0,Другой
7,4300000.0,62.1,2016-03-13,3,2.55,5,43.5,1,False,False,False,7.3,0,Санкт-Петербург,19646.0,15572.0,1.0,231.0,2.0,854.0,186,2016,3,6,69243.16,Первый
9,4350000.0,37.0,2018-02-22,1,2.72,19,18.0,6,True,False,False,10.7,0,Санкт-Петербург,34324.0,14192.0,0.0,3100.0,0.0,3100.0,45,2018,2,3,117567.57,Другой
10,4200000.0,41.4,2018-09-24,1,2.7,25,16.5,20,True,False,False,10.2,0,поселок Парголово,53554.0,19107.0,0.0,3100.0,0.0,3100.0,81,2018,9,0,101449.28,Другой
11,2400000.0,43.9,2019-03-13,2,2.72,2,27.46,1,True,False,False,5.2,0,Кировск,,,,,,,0,2019,3,2,54669.7,Первый
15,4500000.0,63.0,2018-07-17,2,2.72,11,36.0,3,True,False,False,9.0,2,поселок Металлострой,26128.0,27825.0,0.0,3100.0,0.0,3100.0,100,2018,7,1,71428.57,Другой
19,4999000.0,52.0,2019-04-23,2,2.61,9,30.0,6,True,False,False,9.0,2,Санкт-Петербург,12444.0,15035.0,0.0,3100.0,1.0,881.0,0,2019,4,1,96134.62,Другой
0,1700000.0,33.1,2019-04-09,1,2.72,5,18.4,1,True,False,False,6.4,0,поселок городского типа Лебяжье,,,,,,,0,2019,4,1,51359.52,Первый
9,2500000.0,63.0,2018-10-25,3,2.5,5,43.0,4,True,False,False,9.0,0,поселок городского типа Сиверский,,,,,,,45,2018,10,3,39682.54,Другой
10,4200000.0,72.0,2017-11-17,2,2.72,12,45.0,4,True,False,False,10.0,0,поселок Кузьмоловский,,,,,,,54,2017,11,4,58333.33,Другой
10,3500000.0,40.4,2016-06-15,1,2.75,9,20.0,7,False,False,False,10.0,1,Санкт-Петербург,32574.0,11648.0,1.0,511.0,0.0,3100.0,239,2016,6,2,86633.66,Другой
3,3500000.0,29.5,2019-04-26,1,2.5,5,15.6,2,True,False,False,5.5,1,Санкт-Петербург,12921.0,7303.0,0.0,3100.0,0.0,3100.0,4,2019,4,4,118644.07,Другой
14,5150000.0,47.0,2018-08-06,2,2.75,9,28.1,9,False,False,False,7.0,2,Санкт-Петербург,10142.0,13743.0,2.0,751.0,1.0,881.0,34,2018,8,0,109574.47,Последний
20,8780000.0,78.3,2018-08-24,3,2.5,15,51.0,9,True,False,False,11.0,0,Санкт-Петербург,52108.0,16333.0,0.0,3100.0,1.0,746.0,31,2018,8,4,112132.82,Другой
16,3800000.0,38.6,2018-02-22,1,2.72,9,18.0,6,True,False,False,8.4,2,Санкт-Петербург,36450.0,13364.0,0.0,3100.0,0.0,3100.0,8,2018,2,3,98445.6,Другой
4,3000000.0,37.0,2019-03-23,1,2.75,10,12.0,3,True,False,False,13.0,0,садовое товарищество Новая Ропша,,,,,,,0,2019,3,5,81081.08,Другой
7,3700000.0,33.0,2016-04-15,1,2.72,14,18.0,2,True,False,False,6.2,1,Санкт-Петербург,49214.0,16140.0,0.0,3100.0,0.0,3100.0,88,2016,4,4,112121.21,Другой
14,4800000.0,35.0,2018-10-04,1,2.7,25,17.0,9,True,False,False,9.0,0,Санкт-Петербург,42499.0,9719.0,0.0,3100.0,0.0,3100.0,19,2018,10,3,137142.86,Другой
15,6900000.0,77.2,2018-04-18,4,2.6,9,61.0,1,True,False,False,6.0,0,Санкт-Петербург,12403.0,10787.0,0.0,3100.0,1.0,713.0,300,2018,4,2,89378.24,Первый
12,4900000.0,32.0,2018-01-07,1,2.72,25,15.0,5,True,False,False,9.0,0,Санкт-Петербург,52480.0,15598.0,0.0,3100.0,1.0,464.0,60,2018,1,6,153125.0,Другой
9,9490000.0,80.0,2017-10-30,3,2.55,10,46.0,7,True,False,False,11.0,1,Санкт-Петербург,35958.0,9860.0,0.0,3100.0,0.0,3100.0,0,2017,10,0,118625.0,Другой
4,4590000.0,40.0,2017-05-29,1,2.72,6,18.0,1,True,False,False,10.0,0,Санкт-Петербург,20062.0,6175.0,1.0,241.0,0.0,3100.0,31,2017,5,0,114750.0,Первый
14,2500000.0,33.3,2018-03-27,1,2.55,9,19.0,3,True,False,False,7.0,2,Всеволожск,,,,,,,226,2018,3,1,75075.08,Другой
8,5750000.0,78.0,2016-05-19,3,2.72,27,45.4,27,True,False,False,10.8,2,поселок Парголово,53134.0,19311.0,0.0,3100.0,0.0,3100.0,426,2016,5,3,73717.95,Последний
8,3850000.0,42.0,2018-11-05,2,2.72,5,27.0,4,True,False,False,6.5,0,Санкт-Петербург,43019.0,8535.0,0.0,3100.0,0.0,3100.0,73,2018,11,0,91666.67,Другой
8,4500000.0,31.0,2019-02-24,1,2.5,9,17.0,4,True,False,False,5.0,0,Санкт-Петербург,35445.0,9089.0,0.0,3100.0,2.0,439.0,60,2019,2,6,145161.29,Другой
11,2500000.0,30.9,2017-10-20,1,2.75,5,16.7,1,True,False,False,6.0,0,Кронштадт,68997.0,50722.0,1.0,285.0,2.0,221.0,360,2017,10,4,80906.15,Первый
20,2100000.0,60.0,2019-04-06,2,2.5,5,31.5,2,True,False,False,9.0,2,Волхов,,,,,,,0,2019,4,5,35000.0,Другой
20,4800000.0,65.9,2018-02-25,3,2.55,9,48.5,8,True,False,False,6.3,0,Санкт-Петербург,44855.0,17093.0,0.0,3100.0,0.0,3100.0,239,2018,2,6,72837.63,Другой
10,4050000.0,51.0,2019-04-23,2,2.72,5,30.5,1,True,False,False,6.6,0,Пушкин,17974.0,32546.0,1.0,15.0,1.0,659.0,0,2019,4,1,79411.76,Первый
6,6210000.0,55.0,2019-04-29,2,2.5,11,31.9,3,True,False,False,8.3,0,Санкт-Петербург,31398.0,11990.0,0.0,3100.0,0.0,3100.0,0,2019,4,0,112909.09,Другой
6,2500000.0,31.0,2019-02-13,1,2.75,3,19.5,1,True,False,False,5.0,0,Ломоносов,48649.0,52073.0,0.0,3100.0,2.0,896.0,35,2019,2,2,80645.16,Первый
0,3200000.0,32.0,2018-02-01,1,2.5,9,18.0,3,True,False,False,8.0,0,Санкт-Петербург,49587.0,16425.0,1.0,215.0,0.0,3100.0,40,2018,2,3,100000.0,Другой
11,2650000.0,49.0,2018-06-23,2,2.8,8,31.0,8,True,False,False,6.0,2,Кингисепп,,,,,,,163,2018,6,5,54081.63,Последний
8,3400000.0,71.1,2018-08-20,3,2.5,5,41.9,4,True,False,False,9.0,2,Приозерск,,,,,,,0,2018,8,0,47819.97,Другой
13,2699000.0,33.0,2017-10-13,1,2.5,9,19.0,7,True,False,False,6.0,0,Петергоф,45332.0,48757.0,0.0,3100.0,0.0,3100.0,49,2017,10,4,81787.88,Другой
10,3800000.0,33.7,2017-07-10,1,2.65,17,15.1,3,True,False,False,7.3,0,Санкт-Петербург,35452.0,15458.0,0.0,3100.0,1.0,998.0,353,2017,7,0,112759.64,Другой
8,4800000.0,40.0,2017-11-18,2,2.72,3,29.0,2,True,False,False,6.0,0,Санкт-Петербург,23371.0,2913.0,0.0,3100.0,2.0,729.0,80,2017,11,5,120000.0,Другой
9,2200000.0,31.0,2016-04-13,1,2.5,5,17.0,3,False,False,False,5.5,1,поселок Кузьмоловский,,,,,,,172,2016,4,2,70967.74,Другой
1,4620000.0,86.2,2017-09-27,3,2.75,12,49.6,9,True,False,False,17.0,1,деревня Куттузи,,,,,,,42,2017,9,2,53596.29,Другой
9,2990000.0,30.0,2016-06-08,1,2.5,9,20.0,9,True,False,False,5.6,0,Санкт-Петербург,30067.0,6262.0,0.0,3100.0,1.0,332.0,60,2016,6,2,99666.67,Последний
11,4400000.0,53.6,2018-03-31,2,2.55,10,29.2,10,True,False,False,7.8,1,Сестрорецк,60883.0,36102.0,1.0,341.0,2.0,256.0,55,2018,3,5,82089.55,Последний
20,4790000.0,35.5,2018-11-04,1,2.65,25,17.0,20,True,False,False,9.0,0,Санкт-Петербург,36688.0,11841.0,0.0,3100.0,2.0,981.0,71,2018,11,6,134929.58,Другой
9,5300000.0,53.0,2018-06-28,2,2.65,12,31.5,6,True,False,False,7.6,0,Санкт-Петербург,10128.0,12247.0,2.0,633.0,1.0,878.0,55,2018,6,3,100000.0,Другой
9,3900000.0,45.0,2017-07-01,2,2.72,5,29.0,3,True,False,False,6.0,0,Санкт-Петербург,39793.0,9052.0,0.0,3100.0,0.0,3100.0,222,2017,7,5,86666.67,Другой
15,2950000.0,44.9,2019-03-20,2,2.72,5,28.0,3,True,False,False,5.4,1,поселок Аннино,,,,,,,0,2019,3,2,65701.56,Другой
6,8090000.0,81.22,2018-08-08,3,2.64,24,42.9,10,True,False,False,12.72,1,Санкт-Петербург,17755.0,16576.0,0.0,3100.0,1.0,594.0,104,2018,8,2,99606.01,Другой
12,4350000.0,55.0,2017-05-21,2,2.57,9,31.2,2,True,False,False,8.3,0,Петергоф,45958.0,34425.0,1.0,589.0,0.0,3100.0,45,2017,5,6,79090.91,Другой
15,7250000.0,75.75,2017-02-15,2,2.7,22,40.61,3,True,False,False,15.0,2,Санкт-Петербург,51531.0,14184.0,0.0,3100.0,0.0,3100.0,30,2017,2,2,95709.57,Другой
15,3100000.0,47.3,2017-11-07,2,2.72,5,27.5,2,True,False,False,8.5,0,городской поселок Янино-1,,,,,,,45,2017,11,1,65539.11,Другой
9,3300000.0,41.9,2017-07-30,1,2.72,7,15.4,7,True,False,False,12.4,2,поселок Шушары,18240.0,30245.0,0.0,3100.0,1.0,264.0,228,2017,7,6,78758.95,Последний
2,5000000.0,42.9,2016-04-11,1,2.75,23,18.9,8,False,False,False,7.9,1,Санкт-Петербург,43269.0,13145.0,1.0,417.0,0.0,3100.0,69,2016,4,0,116550.12,Другой
2,5600000.0,66.0,2018-07-11,3,2.5,9,48.0,9,True,False,False,6.3,0,Санкт-Петербург,45589.0,17018.0,1.0,762.0,0.0,3100.0,0,2018,7,2,84848.48,Последний
17,6500000.0,67.4,2017-05-11,3,2.65,17,40.1,6,False,False,False,10.3,1,Санкт-Петербург,33745.0,14844.0,0.0,3100.0,1.0,357.0,56,2017,5,3,96439.17,Другой
17,7430000.0,60.2,2019-02-28,2,2.5,4,,2,True,False,False,10.2,0,Сестрорецк,54526.0,35625.0,0.0,3100.0,0.0,3100.0,0,2019,2,3,123421.93,Другой
11,3750000.0,35.1,2019-04-08,1,2.75,23,15.9,1,True,False,False,9.8,0,Санкт-Петербург,22314.0,17642.0,0.0,3100.0,1.0,68.0,0,2019,4,0,106837.61,Первый
9,2250000.0,73.0,2018-11-14,3,2.72,5,43.4,5,True,False,False,8.4,0,деревня Заклинье,,,,,,,46,2018,11,2,30821.92,Последний
7,1400000.0,73.5,2018-03-31,3,2.6,5,46.0,5,True,False,False,8.0,0,поселок Торковичи,,,,,,,276,2018,3,5,19047.62,Последний
6,3800000.0,49.0,2019-02-22,2,2.5,9,38.0,8,True,False,False,10.0,1,поселок Шушары,18471.0,24272.0,0.0,3100.0,0.0,3100.0,11,2019,2,4,77551.02,Другой
10,3570000.0,73.3,2018-02-08,3,2.5,5,47.4,3,True,False,False,8.3,2,поселок городского типа Сиверский,,,,,,,122,2018,2,3,48703.96,Другой
8,2100000.0,31.6,2018-10-16,1,2.72,5,17.5,4,True,False,False,5.5,1,Гатчина,,,,,,,37,2018,10,1,66455.7,Другой
20,2550000.0,52.0,2019-03-08,2,2.6,5,31.0,3,True,False,False,10.0,1,поселок Первомайское,,,,,,,0,2019,3,4,49038.46,Другой
11,3850000.0,31.7,2018-08-02,1,2.5,5,17.9,2,True,False,False,5.6,2,Санкт-Петербург,10709.0,10933.0,0.0,3100.0,0.0,3100.0,8,2018,8,3,121451.1,Другой
16,3400000.0,60.0,2017-10-10,3,2.5,5,44.1,1,True,False,False,6.0,0,Красное Село,26090.0,29514.0,0.0,3100.0,0.0,3100.0,98,2017,10,1,56666.67,Первый
9,3000000.0,43.8,2017-02-16,2,2.7,5,27.7,2,True,False,False,5.5,0,поселок Понтонный,31458.0,33170.0,0.0,3100.0,0.0,3100.0,246,2017,2,3,68493.15,Другой
7,2600000.0,30.2,2018-02-14,1,2.65,9,26.1,5,True,False,False,6.2,0,Санкт-Петербург,13952.0,15031.0,0.0,3100.0,1.0,824.0,12,2018,2,2,86092.72,Другой
9,4300000.0,52.3,2017-10-06,2,2.72,12,29.8,4,True,False,False,10.9,0,Санкт-Петербург,32794.0,13643.0,0.0,3100.0,0.0,3100.0,69,2017,10,4,82217.97,Другой
0,6150000.0,62.0,2017-10-13,3,2.72,9,41.5,5,True,False,False,8.5,2,Санкт-Петербург,41954.0,12168.0,1.0,10.0,0.0,3100.0,45,2017,10,4,99193.55,Другой
4,5200000.0,62.8,2016-06-01,3,2.72,9,39.7,2,True,False,False,9.7,0,Санкт-Петербург,12988.0,15579.0,0.0,3100.0,2.0,898.0,233,2016,6,2,82802.55,Другой
18,6400000.0,55.8,2018-11-16,3,2.5,9,38.0,2,True,False,False,7.7,2,Санкт-Петербург,19386.0,16606.0,0.0,3100.0,0.0,3100.0,92,2018,11,4,114695.34,Другой
14,3270000.0,39.4,2017-04-17,1,2.72,24,19.2,9,True,False,False,11.0,0,поселок Мурино,,,,,,,79,2017,4,0,82994.92,Другой
6,7920000.0,83.8,2017-08-17,4,2.47,9,55.9,9,True,False,False,9.8,1,Санкт-Петербург,30352.0,7724.0,0.0,3100.0,1.0,289.0,155,2017,8,3,94510.74,Последний
19,7700000.0,85.0,2019-02-07,3,2.7,10,50.0,1,True,False,False,11.0,0,Санкт-Петербург,15923.0,14719.0,0.0,3100.0,1.0,212.0,50,2019,2,3,90588.24,Первый
7,8715960.0,57.0,2017-06-29,1,2.72,5,20.0,5,True,False,False,16.0,0,Санкт-Петербург,17462.0,16465.0,1.0,1205.0,2.0,97.0,119,2017,6,3,152911.58,Последний
6,4700000.0,67.0,2017-04-29,3,2.7,9,43.4,1,True,False,False,8.8,2,Санкт-Петербург,15361.0,14157.0,0.0,3100.0,0.0,3100.0,339,2017,4,5,70149.25,Первый
2,3999000.0,34.1,2016-11-11,1,2.7,25,14.47,12,True,False,False,10.4,0,Санкт-Петербург,18488.0,15945.0,0.0,3100.0,0.0,3100.0,355,2016,11,4,117272.73,Другой
1,3600000.0,44.2,2018-01-12,2,2.5,9,27.0,3,True,False,False,6.3,2,Ломоносов,46926.0,50351.0,0.0,3100.0,1.0,590.0,24,2018,1,4,81447.96,Другой
8,1980000.0,30.6,2018-01-15,1,2.56,5,17.4,4,True,False,False,5.7,0,поселок Понтонный,31366.0,33078.0,0.0,3100.0,0.0,3100.0,217,2018,1,0,64705.88,Другой
16,5080000.0,31.3,2019-04-23,1,2.5,7,16.0,4,False,False,False,7.6,1,Санкт-Петербург,27753.0,6692.0,1.0,860.0,1.0,694.0,0,2019,4,1,162300.32,Другой
11,9000000.0,72.6,2018-09-08,2,2.9,5,43.2,4,True,False,False,11.4,0,Санкт-Петербург,22794.0,1645.0,2.0,276.0,3.0,485.0,0,2018,9,5,123966.94,Другой
10,2450000.0,42.5,2019-04-17,1,2.6,5,17.2,5,True,False,False,8.4,0,деревня Старая,,,,,,,0,2019,4,2,57647.06,Последний
14,4700000.0,45.0,2019-04-11,2,2.5,9,27.4,4,True,False,False,8.6,0,Санкт-Петербург,42566.0,15070.0,0.0,3100.0,0.0,3100.0,0,2019,4,3,104444.44,Другой
4,4300000.0,58.5,2016-06-15,2,2.72,9,28.73,7,False,False,False,11.24,1,поселок Шушары,18309.0,30317.0,0.0,3100.0,1.0,353.0,45,2016,6,2,73504.27,Другой
12,8000000.0,54.0,2019-03-26,2,2.77,18,31.0,10,True,False,False,11.0,0,Санкт-Петербург,7659.0,13841.0,0.0,3100.0,0.0,3100.0,11,2019,3,1,148148.15,Другой
5,4150000.0,50.41,2017-07-20,2,2.5,9,31.1,8,True,False,False,7.0,1,Санкт-Петербург,41954.0,12168.0,1.0,10.0,0.0,3100.0,274,2017,7,3,82324.94,Другой
17,3700000.0,67.0,2018-09-07,3,2.7,9,42.2,8,True,False,False,5.5,0,Всеволожск,,,,,,,0,2018,9,4,55223.88,Другой
14,6700000.0,65.6,2018-02-27,2,2.55,10,36.7,10,True,False,False,10.9,2,Санкт-Петербург,11657.0,11992.0,1.0,591.0,1.0,192.0,31,2018,2,1,102134.15,Последний
19,6550000.0,79.0,2018-04-05,4,2.6,9,55.3,6,True,False,False,10.0,1,Санкт-Петербург,49666.0,16010.0,0.0,3100.0,0.0,3100.0,122,2018,4,3,82911.39,Другой
11,4690000.0,35.0,2019-04-01,1,2.7,17,16.0,15,False,False,False,9.8,1,Санкт-Петербург,36237.0,13151.0,0.0,3100.0,0.0,3100.0,0,2019,4,0,134000.0,Другой
12,7700000.0,58.7,2017-12-12,1,2.72,7,17.0,3,True,False,False,15.7,0,Санкт-Петербург,24102.0,4670.0,1.0,239.0,0.0,3100.0,136,2017,12,1,131175.47,Другой
8,3890000.0,37.0,2018-07-09,1,2.5,25,28.0,6,True,False,False,9.0,0,Санкт-Петербург,25408.0,16166.0,0.0,3100.0,0.0,3100.0,28,2018,7,0,105135.14,Другой
10,3750000.0,43.0,2018-05-09,2,2.72,4,28.0,1,True,False,False,6.0,0,Павловск,19775.0,31929.0,2.0,651.0,1.0,1064.0,277,2018,5,2,87209.3,Первый
7,5950000.0,59.6,2018-05-08,2,2.72,25,31.48,17,True,False,False,13.29,0,Санкт-Петербург,43074.0,10820.0,0.0,3100.0,0.0,3100.0,182,2018,5,1,99832.21,Другой
20,2350000.0,35.4,2017-12-12,1,2.6,5,18.2,1,True,False,False,9.8,0,деревня Лесколово,,,,,,,0,2017,12,1,66384.18,Первый
10,5650000.0,61.4,2016-03-09,2,2.72,16,34.0,8,True,False,False,14.0,0,Всеволожск,,,,,,,361,2016,3,2,92019.54,Другой
7,3350000.0,58.9,2017-04-05,2,2.6,5,31.5,3,True,False,False,12.9,1,Всеволожск,,,,,,,113,2017,4,2,56876.06,Другой
